"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"60","Greece",30.16,31.57,32.61,32.35,34.04,35.17,34.81,34.92,36.53,38.5,39.52,37.35,35.46,34.06,31.4,30.35,29.9,30.27,30.56,30.07,33.32
"61","Greenland",0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"62","Grenada",0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.01,0.02,0.02,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.02
"63","Guatemala",1.59,1.17,1.37,1.18,1.15,1.21,1.08,1.25,1.29,1.4,1.34,1.5,1.46,1.64,1.68,1.86,1.99,2.13,2.19,2.16,2.31
"64","Guinea",0.33,0.32,0.34,0.31,0.32,0.32,0.36,0.35,0.33,0.38,0.39,0.35,0.37,0.39,0.41,0.41,0.44,0.49,0.52,0.57,0.59
"65","Guinea-Bissau",0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05
"66","Guyana",0.1,0.1,0.11,0.1,0.09,0.1,0.09,0.1,0.1,0.12,0.12,0.12,0.13,0.13,0.17,0.19,0.18,0.21,0.22,0.22,0.23
"67","Haiti",0.2,0.19,0.21,0.19,0.19,0.2,0.18,0.21,0.21,0.24,0.23,0.23,0.21,0.22,0.24,0.25,0.29,0.31,0.3,0.3,0.32
"68","Honduras",0.36,0.3,0.33,0.35,0.36,0.41,0.41,0.47,0.45,0.54,0.55,0.56,0.55,0.68,0.71,0.77,0.77,0.84,0.85,0.82,0.87
"69","Hungary",14.12,14.39,13.99,13.69,15.1,15.68,15.33,17.33,17.79,16.47,16.01,16.03,16.61,16.61,15.2,14.96,15.15,16.84,15.84,16.7,18.08
"70","Iceland",0.13,0.13,0.12,0.12,0.17,0.16,0.17,0.13,0.13,0.13,0.17,0.19,0.16,0.17,0.17,0.19,0.2,0.18,0.18,0.26,0.24
"71","India",59.15,63.98,67.8,71.58,75.6,79.53,84.98,90.76,100.6,113.3,122.49,134.79,144.44,158.67,175.16,185.1,201.86,214.13,236.07,248.61,281.71
"72","Indonesia",25.35,26.35,27.35,28.99,30.15,31.4,34.26,36.07,40.22,42.18,45.13,47.45,52.9,56.32,60.94,64.09,70.93,76.88,80.91,84.52,89.31
"73","Iran",17.41,18.69,19.88,20.44,22.06,24.42,25.53,27.4,29.65,32.43,33.98,35.34,36.3,37.84,36.74,38.04,40.33,40.99,45.62,48.48,49.52
"74","Iraq",5.16,5.39,5.91,6.06,5.66,4.36,5.67,6.03,6.42,6.42,7.5,8.42,9.18,9.79,11.11,11.81,11.9,12.41,13.97,14.07,14.99
"75","Ireland",11.81,11.81,12.12,10.85,11.11,13.58,9.03,10.62,10.64,10.94,9.63,9.2,8.17,8.41,8.13,8.16,8.83,9.54,9.7,9.87,11.43
"76","Israel",12.59,12.46,13.54,13.32,13.35,13.53,13.43,13.23,13.95,14.42,14.34,13.98,14.72,15.37,15.4,16.02,15.98,16.84,15.96,17.02,18.46
"77","Italy",240.97,243.75,239.99,217.97,227.88,229.7,216.08,213.25,212.75,208.85,208.77,206.97,196.53,205.91,192.93,187.55,186.16,195.32,188.18,184.51,203.32
"78","Jamaica",0.61,0.66,0.69,0.69,0.69,0.74,0.71,0.74,0.82,0.9,0.86,0.76,0.69,0.69,0.7,0.73,0.8,0.81,0.8,0.82,0.88
"79","Japan",381.31,351.72,412.99,395.89,375.6,396.76,379.73,417.79,433.94,429.2,443.6,409.68,415.5,423.02,436.68,440.9,447.08,431.2,417.8,463.54,491.43
"80","Jordan",0.7,0.7,0.75,0.8,0.87,0.9,0.99,1.06,1.11,1.15,1.16,1.2,1.2,1.24,1.37,1.39,1.47,1.52,1.53,1.59,1.64
"81","Kazakhstan",8.21,8.13,8.76,9.61,10.74,11.74,13.01,14.07,16.37,17.54,19.19,17.4,19.21,20.61,21.97,23.53,22.97,22.38,22.78,23.87,25.44
"82","Kenya",0.54,0.48,0.53,0.58,0.56,0.49,0.52,0.57,0.64,0.69,0.72,0.86,0.97,1.09,1.08,1.15,1.19,1.35,1.47,1.43,1.57
"83","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Kuwait",4.04,4.52,4.85,4.53,4.95,5.7,6.04,7.26,7.48,7.89,9.3,8.93,8.05,8.34,8.92,8.97,8.36,9.24,9.36,9.52,9.94
"85","Lao PDR",0.12,0.16,0.18,0.18,0.2,0.19,0.22,0.23,0.24,0.28,0.27,0.31,0.34,0.37,0.4,0.47,0.46,0.48,0.58,0.57,0.63
"86","Latvia",1.73,1.77,1.69,1.78,2.15,2.3,2.23,2.89,3.67,3.59,3.23,2.82,2.88,2.67,2.7,2.78,2.88,2.61,2.62,2.52,3.06
"87","Lebanon",1.02,1.02,1,1.09,1.12,1.17,1.23,1.25,1.28,1.37,1.61,1.89,2.03,2.09,2.12,2.11,2.2,2.29,2.29,2.31,3.3
"88","Lesotho",0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.06,0.06,0.07,0.08,0.1,0.1,0.11,0.12,0.13,0.13,0.13,0.12,0.12
"89","Liberia",NA,NA,0.07,0.06,0.07,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.09,0.1,0.1,0.1,0.1
"90","Libya",NA,2.55,2.71,2.73,2.78,3.14,3.16,3.44,3.47,3.72,3.99,4.17,4.55,2.18,3.62,3.58,3.16,2.99,3.11,3.67,4.16
"91","Lithuania",2.41,2.29,2.18,2.35,2.73,3.04,3,3.84,4.62,5.01,4.89,3.97,4.41,4.27,4.32,4.37,4.5,4.4,4.43,4.29,4.74
"92","Luxembourg",3.22,3.12,3,2.95,2.99,3.12,3.01,3.02,3.18,3.04,3,2.9,3.12,3.03,2.9,3.1,2.77,2.8,2.77,2.67,2.8
"93","Madagascar",0.05,0.04,0.06,0.12,0.07,0.08,0.08,0.09,0.09,0.1,0.08,0.11,0.12,0.18,0.17,0.21,0.2,0.23,0.24,0.2,0.21
"94","Malawi",0.1,0.09,0.1,0.11,0.1,0.09,0.1,0.11,0.11,0.14,0.14,0.14,0.15,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.15
"95","Malaysia",8,9.47,10.19,10.1,11.11,11.53,12.92,13.83,16.06,16.21,17.27,17.68,17.98,20.61,21.86,23.03,25.85,27.52,26.68,27.84,31.21
"96","Mali",0.26,0.25,0.26,0.27,0.29,0.3,0.32,0.31,0.31,0.34,0.35,0.35,0.38,0.37,0.37,0.34,0.38,0.43,0.46,0.49,0.49
"97","Malta",0.61,0.64,0.66,0.66,0.71,0.76,0.76,0.68,0.64,0.8,0.82,0.77,0.88,0.79,0.76,0.75,0.91,0.87,0.96,0.95,1.15
"98","Mauritania",0.18,0.18,0.19,0.18,0.18,0.19,0.19,0.22,0.23,0.23,0.21,0.2,0.21,0.23,0.25,0.26,0.26,0.28,0.28,0.3,0.31
"99","Mauritius",0.05,0.06,0.07,0.08,0.08,0.08,0.09,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.15,0.17,0.18
"100","Mexico",42.15,39.28,42.95,36.48,37.25,39.9,38.56,42.53,42.78,44.54,46.31,47.78,47.86,52.78,55.43,58.44,59,62.56,65.66,66.32,69.45
"101","Moldova",0.51,0.47,0.46,0.49,0.56,0.58,0.6,0.69,0.71,0.69,0.7,0.71,0.8,0.79,0.78,0.76,0.8,0.85,0.88,0.83,0.92
"102","Mongolia",0.37,0.37,0.39,0.39,0.44,0.45,0.44,0.49,0.57,0.62,0.64,0.68,0.72,0.84,0.93,1.01,1.02,1.04,1.07,1.13,1.21
"103","Morocco",2.83,2.72,2.8,3,3.08,3.28,3.65,3.87,4.21,4.21,4.69,4.87,5.34,5.65,5.84,6.29,6.57,7.34,7.49,8.39,7.81
"104","Mozambique",0.1,0.1,0.11,0.13,0.13,0.14,0.16,0.17,0.18,0.22,0.22,0.24,0.26,0.29,0.3,0.33,0.38,0.44,0.54,0.54,0.58
"105","Namibia",0.27,0.26,0.28,0.31,0.32,0.32,0.33,0.35,0.34,0.39,0.4,0.43,0.45,0.5,0.52,0.54,0.56,0.63,0.63,0.61,0.61
"106","Nepal",0.43,0.47,0.5,0.56,0.53,0.54,0.56,0.57,0.59,0.63,0.69,0.79,0.83,0.9,1.02,1.03,1.15,1.15,1.32,1.41,1.55
"107","Netherlands",82.99,76.36,81.01,76.34,78.01,79.97,74.87,70.34,72.52,68.24,69.32,66.25,69.94,67.98,64.8,60.96,60.78,64.1,64.71,68.95,70.22
"108","New Zealand",2.71,2.87,3.06,3.2,2.85,2.63,2.51,2.53,2.56,2.69,2.59,2.48,2.61,2.65,2.51,2.91,2.66,2.84,3.18,3.22,3.53
"109","Nicaragua",0.21,0.18,0.19,0.21,0.21,0.23,0.22,0.26,0.24,0.29,0.28,0.29,0.3,0.34,0.35,0.38,0.39,0.44,0.49,0.47,0.45
"110","Niger",0.29,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.26,0.27,0.31,0.31,0.33,0.38,0.39,0.4,0.41
"111","Nigeria",15.29,13.68,15.66,15.4,17.14,17.82,19.81,20.07,19.58,20.97,21.7,21.39,23.18,23.33,24.41,24.28,25.21,27.77,26.66,26.17,24.8
"112","Norway",25.15,25.35,24.38,19.32,20.07,20.22,15.99,12.16,20.15,11.88,13.83,16.61,11.05,17.25,10.97,10.8,14.9,8.9,8.93,9.1,13.75
"113","Oman",2.73,2.77,3.07,3.23,3.22,3.25,3.21,3.38,3.91,4.19,4.53,4.65,4.86,5.28,5.64,5.72,5.8,6.39,6.58,6.79,6.27
"114","Pakistan",7.47,7.82,8.34,8.56,8.84,9.01,10.01,10.06,10.96,11.73,12.05,12.35,12.41,12.78,13.38,13.71,14.44,15.13,16.37,17.37,18.45
"115","Panama",0.51,0.46,0.48,0.47,0.44,0.53,0.53,0.66,0.73,0.82,0.87,0.86,0.98,1.05,1.22,1.33,1.47,1.57,1.52,1.35,1.49
"116","Papua New Guinea",0.16,0.16,0.24,0.15,0.19,0.19,0.23,0.23,0.27,0.29,0.33,0.27,0.4,0.37,0.39,0.47,0.4,0.54,0.45,0.45,0.53
"117","Paraguay",0.4,0.48,0.35,0.39,0.46,0.46,0.48,0.48,0.49,0.62,0.52,0.55,0.66,0.68,0.69,0.67,0.73,0.89,0.91,0.98,1.04
"118","Peru",3.26,3.2,3.27,3.15,3.34,3.46,3.66,3.81,3.95,4.34,4.89,5.66,6.44,6.87,7.28,7.58,7.69,7.91,8.38,8.53,8.84
"119","Philippines",4.77,4.89,5.26,4.76,5.15,5.69,6.31,6.79,6.95,7.39,7.79,7.91,8.25,8.8,9.49,10.33,11.32,12.18,12.4,13.92,15.69
