"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"96","Mali","0.247","0.241","0.242","0.257","0.276","0.286","0.299","0.295","0.291","0.322","0.329","0.327","0.36","0.345","0.35","0.308","0.342","0.399","0.419","0.446","0.446"
"97","Malta","0.548","0.573","0.597","0.591","0.644","0.677","0.678","0.588","0.553","0.705","0.729","0.682","0.787","0.695","0.66","0.663","0.822","0.809","0.9","0.891","1.093"
"98","Mauritania","0.112","0.112","0.112","0.103","0.105","0.111","0.113","0.124","0.145","0.148","0.147","0.137","0.143","0.149","0.165","0.161","0.162","0.174","0.166","0.173","0.177"
"99","Mauritius","0","0","0","0","0","0","0","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Mexico","31.56","28.788","31.56","24.932","25.29","27.088","25.192","28.352","27.791","29.018","30.432","31.919","31.176","35.43","37.202","40.282","40.963","43.848","46.235","46.078","49.288"
"101","Moldova","0.269","0.266","0.262","0.283","0.344","0.343","0.361","0.432","0.454","0.436","0.442","0.452","0.506","0.489","0.482","0.492","0.504","0.538","0.561","0.512","0.571"
"102","Mongolia","0.133","0.129","0.133","0.127","0.154","0.169","0.141","0.143","0.164","0.189","0.202","0.212","0.222","0.281","0.311","0.33","0.341","0.377","0.384","0.398","0.419"
"103","Morocco","1.97","1.8","1.842","1.926","1.944","2.131","2.352","2.471","2.747","2.694","3.051","3.204","3.528","3.656","3.724","4.141","4.323","4.98","5.001","5.731","5.035"
"104","Mozambique","0.061","0.061","0.06","0.078","0.071","0.065","0.07","0.081","0.089","0.11","0.118","0.124","0.134","0.147","0.158","0.168","0.173","0.184","0.178","0.154","0.175"
"105","Namibia","0.217","0.204","0.227","0.24","0.256","0.247","0.254","0.266","0.256","0.303","0.306","0.325","0.345","0.38","0.392","0.405","0.416","0.474","0.459","0.433","0.425"
"106","Nepal","0.359","0.377","0.406","0.453","0.446","0.441","0.466","0.469","0.502","0.542","0.582","0.651","0.667","0.709","0.796","0.802","0.878","0.899","0.944","1.014","1.128"
"107","Netherlands","78.004","71.412","75.944","71.039","72.593","74.376","69.095","64.61","66.82","62.382","63.311","60.296","63.481","61.811","58.633","54.721","54.694","57.612","58.048","62.336","63.617"
