"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"92","Luxembourg","0.22","0.23","0.25","0.27","0.3","0.32","0.37","0.38","0.39","0.37","0.38","0.36","0.39","0.4","0.39","0.38","0.37","0.36","0.36","0.38","0.4"
"93","Madagascar","0.03","0.03","0.04","0.05","0.05","0.06","0.07","0.07","0.07","0.08","0.07","0.06","0.08","0.11","0.12","0.14","0.14","0.15","0.16","0.17","0.18"
"94","Malawi","0.02","0.02","0.02","0.03","0.03","0.03","0.04","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.06","0.07","0.07"
"95","Malaysia","3.1","3.46","3.84","4.06","4.46","4.8","5.28","5.77","6.14","6.82","7.39","6.79","7.54","7.72","7.95","8.74","9.39","9.58","9.64","9.84","10.49"
"96","Mali","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.04","0.04","0.04"
"97","Malta","0.07","0.07","0.06","0.07","0.07","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.1","0.09","0.09","0.07","0.06","0.06","0.06"
"98","Mauritania","0.07","0.07","0.07","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.06","0.07","0.07","0.08","0.09","0.09","0.1","0.1","0.11","0.13","0.13"
"99","Mauritius","0.05","0.06","0.07","0.08","0.08","0.08","0.09","0.09","0.11","0.11","0.12","0.12","0.13","0.13","0.14","0.14","0.15","0.15","0.15","0.17","0.18"
"100","Mexico","10.59","10.49","11.39","11.55","11.96","12.81","13.37","14.18","14.99","15.52","15.88","15.86","16.69","17.35","18.22","18.16","18.04","18.72","19.42","20.24","20.16"
"101","Moldova","0.24","0.21","0.19","0.21","0.22","0.24","0.24","0.26","0.26","0.26","0.26","0.26","0.29","0.3","0.3","0.27","0.3","0.32","0.32","0.31","0.35"
"102","Mongolia","0.24","0.24","0.26","0.26","0.29","0.28","0.3","0.35","0.4","0.43","0.44","0.47","0.5","0.56","0.62","0.68","0.68","0.67","0.69","0.73","0.79"
"103","Morocco","0.86","0.92","0.96","1.08","1.14","1.15","1.29","1.4","1.47","1.52","1.64","1.67","1.81","2","2.12","2.14","2.25","2.36","2.49","2.66","2.78"
"104","Mozambique","0.04","0.04","0.05","0.06","0.06","0.08","0.09","0.09","0.09","0.11","0.11","0.12","0.13","0.15","0.15","0.16","0.2","0.25","0.36","0.38","0.4"
"105","Namibia","0.06","0.06","0.05","0.07","0.06","0.07","0.07","0.08","0.08","0.09","0.1","0.1","0.11","0.12","0.12","0.14","0.15","0.16","0.17","0.18","0.18"
