"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"66","Guyana","NA","3.59","-1.69","3.11","1.4","-0.23","2.12","-1.8","5.67","6.5","3.02","4.43","4.25","5.51","3.9","5.43","4.29","2.48","3.5","2.21","0.13"
"67","Haiti","NA","0.35","-1.94","-3.2","-2.56","-2.22","-5.53","-0.84","-0.2","0.57","-1.19","0.95","-4.15","4.41","0.4","1.9","0.27","-1.22","-0.54","-0.92","-1.46"
"68","Honduras","NA","-2.71","4.44","0","1.06","1.67","3.75","3.13","4.27","3.04","1.72","-5.04","1.33","0.55","1.48","0.11","0.65","1.15","1.57","2.62","2.51"
"69","Hungary","NA","3.61","6.01","5.3","4.24","4.42","6.17","3.31","4.51","1.61","1.81","-7.35","0.53","2.4","-0.18","2.74","4.84","3.27","3.58","4.5","4.83"
"70","Iceland","NA","2.93","3.77","2.77","-0.89","1.43","6.89","5.36","3.37","7.16","-0.1","-8.07","-3.7","1.46","0.89","3.32","1.12","3.52","6.15","2.95","3.48"
"71","India","NA","6.84","1.72","2.85","1.79","6.17","6.13","6.17","6.02","5.47","0.97","5.94","6.92","3.16","3.3","4.78","5.67","6.76","6.63","6.12","6.57"
"72","Indonesia","NA","-0.7","3.64","2.15","3.18","3.47","3.46","4.42","3.79","5.15","4.67","3.37","4.65","4.99","4.76","4.53","3.58","3.66","4.13","4.28","5.28"
"73","Iran","NA","-1.69","3.9","-0.77","5.99","6.97","2.85","1.79","3.56","6.8","-1.41","-0.51","4.92","1.48","-8.8","-1.63","3.34","-2.52","12.57","2.63","-8.35"
"74","Iraq","NA","14.24","-2.5","-1.2","-9.91","-35.59","50.8","2.8","10.88","-0.67","3.8","-0.46","2.72","3.15","8.85","3.75","-2.17","-0.17","12.48","-5.26","3.68"
"75","Ireland","NA","10.17","8.56","4.92","4.37","-0.07","7.67","3.14","3.35","3.56","-5.77","-6.61","0.92","-1.01","-0.69","0.52","7.79","25.03","3.17","7.77","7.34"
"76","Israel","NA","1.11","4.95","-1.93","-2.17","-1.19","2.42","2.24","3.51","3.89","1.25","-0.82","3.55","2.77","0.43","2.18","2.07","0.2","2.67","1.52","0.98"
"77","Italy","NA","1.58","4.29","3.05","-0.69","-0.5","1.58","0.26","1.25","1.1","-1.77","-6.35","1.91","-0.1","-2.86","-1.86","0.04","0.42","1.92","2.23","0.1"
"78","Jamaica","NA","-0.4","-0.42","0.56","1.47","2.78","1.15","0.22","1.99","0.57","-0.8","-4.07","-1.21","1.66","-0.9","0.26","0.21","0.85","1.54","0.88","0.64"
"79","Japan","NA","0.15","1.54","0.61","0.38","1.09","2.61","0.99","1.18","1.83","-1.48","-5.24","4.44","-0.19","1.48","2.23","0.47","1.81","1.13","1.55","0.47"
"80","Jordan","NA","1.63","2.06","3.11","3.14","1.42","5.11","-0.28","-0.06","3.93","3.16","1.11","-2.43","-1.34","-3.55","-3.88","-1.88","-2.32","-2.37","-2.12","-2.82"
"81","Kazakhstan","NA","4.12","10.75","14.52","9.71","9.27","9.14","9.41","9.12","8.22","1.25","1.67","5.46","5.88","3.06","4.35","3.68","0.25","-0.44","2.64","2.3"
"82","Kenya","NA","-0.23","-2.29","0.83","-2.16","0.38","2.2","2.91","3.45","3.9","-2.53","0.25","5.51","3.29","2.06","3.23","2.84","3.02","3.34","2.64","4.42"
"83","Kiribati","NA","-1.86","-1.91","-1.93","5.05","-1.99","-2.04","4.46","-2.08","-2.05","-1.99","-1.9","-7.91","4.98","-1.44","4.82","-1.3","10.32","3.87","-1.35","0.92"
"84","Kuwait","NA","-4.95","1.65","-2.54","-0.32","15.77","7.51","4.69","1.92","-0.02","-3.39","-11.72","-6.93","4.42","1.32","-4.86","-4.72","-4.3","-1.12","-8.81","0.71"
"85","Lao PDR","NA","48.03","3.09","3.47","3.26","4.59","3.6","5.54","7.03","5.24","6.48","5.57","6.91","6.61","6.45","6.16","6.7","6.11","5","5.93","4.65"
"86","Latvia","NA","4.3","8.42","7.89","7","10.15","11.28","10.1","11.39","13.47","-1.11","-13.22","-3.95","9.78","5.99","3.59","2.95","5.85","2.99","5.61","3.72"
"87","Lebanon","NA","-2.93","-0.87","1.46","1.25","0.84","3.97","0.4","-0.89","7.01","6.73","7.9","6.34","-1.95","-5.1","-5.79","-1.49","-0.76","0.26","-1.14","62.35"
"88","Lesotho","NA","0.43","3.2","3.89","0.87","5.18","2.16","3.85","4.27","5.12","6.83","2.07","5.59","6.94","6.01","1.39","2.46","2.72","2.9","-2.52","-4.86"
"89","Liberia","NA","NA","NA","0.54","3.21","-29.78","-0.28","1.08","2.67","3.97","3.82","2.15","0.41","3.31","7.3","6.41","-1.63","-2.04","-3.71","0.19","1.74"
"90","Libya","NA","NA","1.23","-4.14","-3.41","10.37","2.27","9.54","4.53","4.06","0.39","-2.93","3.89","-63.21","122.54","-15.88","-25.99","-10.39","-4.65","25.84","11.07"
"91","Lithuania","NA","0.15","5.7","7.52","7.06","11.93","8.86","7.16","7.46","13.17","4.88","-13.09","1.66","8.71","5.65","5.35","5.05","3.94","4.15","6.44","3.87"
"92","Luxembourg","NA","8.27","8.02","1.69","2.85","0.3","2.76","1.87","3.51","7.52","-2.92","-6.15","2.8","0.86","-2.41","1.08","2.74","2.03","2.38","-0.4","0.58"
"93","Madagascar","NA","1.8","1.55","2.08","-14.82","6.49","2.34","1.39","2.24","3.02","3.88","-7.06","-2.36","-1.88","0.11","-0.95","0.44","0","1.08","1.37","4.8"
"94","Malawi","NA","0.75","-1.02","-7.7","-0.52","3.51","2.69","0.69","2.06","6.76","5.18","5.59","4.22","2.07","-0.63","2.65","3.02","0.16","-0.12","1.58","-0.82"
"95","Malaysia","NA","2.51","6.31","-1.57","2.89","3.92","4.58","3.52","3.22","5.23","3.3","-3.12","6.5","3.26","4.07","3.35","4.23","3.7","3.87","4.64","3.12"
"96","Mali","NA","2.77","-3.15","11.89","-0.5","5.57","-2.17","2.88","1.13","-0.59","0.9","0.91","1.41","0.33","-3.87","-0.9","3.06","1.85","2.06","1.65","0.66"
"97","Malta","NA","3.92","6.55","0","1.85","1.65","-0.12","4.82","1.97","1.79","2.92","-2.64","1.98","2.18","2.88","4.7","7.19","11.84","4.91","7.1","4.74"
"98","Mauritania","NA","5.7","-3.04","0.01","-1.61","3.63","3.61","5.92","16.63","0.63","-0.95","-3.17","2.05","2.13","3.1","3.93","3.4","-2.02","-0.26","0.67","2.89"
"99","Mauritius","NA","1.61","7.21","2.49","0.89","5.22","3.77","1.1","4.59","5.38","5.13","3.17","4.16","3.9","3.38","3.3","3.59","3.59","3.92","3.79","3.41"
"100","Mexico","NA","1.8","3.29","-1.07","-1.5","-0.17","2.84","0.61","3.29","0.87","-0.29","-6.86","4.05","2.07","2.3","-0.08","1.67","1.91","1.59","0.99","4.22"
"101","Moldova","NA","-2.07","3.66","7.09","7.99","7.98","8.6","7.63","6.03","4.43","9.34","-6.11","7.27","7.29","0.1","10.95","5.53","-0.49","5.12","6.44","3"
"102","Mongolia","NA","2.29","-0.47","2.39","2.76","6.02","10.91","5.27","6.18","8.75","7.62","-3.88","4.38","15.01","10.24","9.65","6.35","0.44","-1.02","3.46","4.61"
"103","Morocco","NA","0.01","0.57","6","1.91","4.69","3.26","1.94","6.27","2.55","4.42","3.12","2.36","4.09","1.93","3.3","1.55","3.11","0.09","2.81","3.05"
"104","Mozambique","NA","9.28","-1.13","9.02","6.63","4.1","4.85","3.46","6.26","4.02","3.83","2.65","2.83","3.51","3.71","3.21","3.56","2.74","-0.28","0.32","8.05"
"105","Namibia","NA","1.53","1.32","-1.01","3.25","3.04","11.21","1.04","6.16","3.75","1.19","-1.23","4.62","3.4","3.55","4.1","4.79","4.2","-0.33","-2.24","-1.19"
"106","Nepal","NA","2.1","4.21","2.53","-1.35","2.35","3.24","1.95","1.98","1.85","4.66","2.74","3.52","1.97","3.1","3.18","4.46","2.38","-1.34","7.18","5.6"
"107","Netherlands","NA","6.21","3.34","2.71","-0.56","-0.61","2.51","2.51","3.12","4.35","1.85","-3.97","0.56","1.52","-1.11","-0.03","1.16","1.31","1.93","2.29","2.21"
"108","New Zealand","NA","4.61","1.92","2.4","3.84","3.43","2.7","1.88","1.47","1.72","-2.02","-1.07","0.64","1.63","1.71","1.76","3.37","2.95","2.92","2.58","2.09"
"109","Nicaragua","NA","5.79","2.29","0.97","-0.84","0.85","4.05","2.25","3.03","3.06","1.99","-4.94","2.86","4.45","5.13","3.29","3.29","2.99","2.9","3.51","-4.18"
"110","Niger","NA","-3.28","-4.99","3.75","-0.48","1.93","-3.45","0.86","2.24","-0.71","6.09","-4.32","4.28","-1.62","7.49","1.7","3.46","0.11","1.14","1.15","1.76"
"111","Nigeria","NA","-1.39","0.93","3.42","12.14","4.34","5.73","3.59","3.48","3.28","3.74","5.42","4.69","2.41","1.04","3.91","3.26","-0.85","-4.41","-2.03","0.89"
"112","Norway","NA","1.51","3.13","3.11","0.76","0.35","4.7","3","-0.36","4.23","-1.04","-3.6","0.82","-1.72","3.02","-0.13","-0.08","2.26","0.05","1.35","-0.52"
"113","Oman","NA","-0.78","4.79","2.84","-3.47","-4.22","2.2","2.87","2.29","0.23","4.83","3.59","-0.81","-12.42","-3.42","-1.95","-0.3","0.09","-0.71","-3.05","2.86"
"114","Pakistan","NA","0.85","1.37","-0.7","0.57","2.37","4.35","5.5","3.32","2.03","-0.92","0.31","-0.79","0.25","0.93","2.08","2.21","2.34","2.94","3.14","3.34"
"115","Panama","NA","2.41","0.74","-1.26","0.56","1.87","5.78","4.77","6.63","9.96","8.01","-0.49","3.72","9.53","7.7","5","3.12","3.98","3.62","4.3","-0.97"
"116","Papua New Guinea","NA","-1.3","-6.46","-2.44","-3.56","-1.06","-0.88","3.34","1.86","4.55","-3.66","4.34","6.08","-1.61","1.59","0.43","11.16","5.8","1.8","0.76","-4.98"
"117","Paraguay","NA","-3.87","-3.77","-3.05","-2.25","2.41","2.2","0.42","3.11","3.13","5.18","-2.06","9","2.47","-2.36","6.74","2.95","0.9","2.65","3.2","4.94"
"118","Peru","NA","0.34","1.45","-0.42","4.23","3.01","3.76","5.19","6.45","7.21","7.7","-0.73","6.55","4.54","4.06","3.43","0.08","1.23","2.19","0.79","2.55"
"119","Philippines","NA","0.85","2.01","1.21","1.3","2.62","4.42","2.67","3.48","4.8","2.42","-0.39","6.25","2.18","5.38","5.84","4.91","4.94","6.06","5.34","-0.7"
"120","Poland","NA","5.29","5.52","2.08","1.78","4.25","5.84","3.08","5.87","7.66","4.82","2.76","3.01","5.87","1.83","1.44","3.89","3.84","3.1","5.06","5.02"
"121","Portugal","NA","4.83","3.32","1.74","0.66","-1.6","3.01","0.73","1.07","2.99","1.58","-3.56","2.61","-2.72","-3.23","-0.37","0.22","1.7","2.65","2.84","2.6"
"122","Puerto Rico","NA","5.51","1.54","7.21","0.69","1.56","9.77","-2.91","-0.87","-2.86","1.32","-2.27","-1.09","2.46","-2.25","0.76","-0.12","-2.15","-0.05","-1.48","-0.53"
"123","Qatar","NA","NA","NA","-0.68","1.01","-3.61","10.22","-3.38","11.71","2.61","1.25","-3.56","4.89","2.41","-3.09","-1.79","-1.5","-1.93","-3.3","-3.73","1.21"
"124","Romania","NA","1.25","3.53","5.84","5.7","3.57","12.38","5.15","9.1","9.21","10","-5.07","-3.31","2.81","3.25","5.31","4.09","4.6","5.81","8.26","3.9"
"125","Russian Federation","NA","6.01","9.98","5.69","4.24","7.64","8.79","6.35","9.15","10.37","5.01","-7.29","3.31","6.59","4.46","2.05","0.4","-2.69","-0.04","2.4","1.94"
"126","Rwanda","NA","3.8","6.41","6.45","11.1","0.09","5.05","6.88","8.31","4.79","8.5","3.78","4.42","4.58","5.36","1.84","3.91","6.28","2.97","3.49","9.78"
